Название игры	Истинные значения	Предсказанные значения	Отношение
emergency 2017 (2016) pc | repack от xatab	21194	41825	1.9734358780787016
terraformers v.1.4.6 [gog] (2023)	54202	28737	1.8861398197445802
coffee talk v1.45 [gog] (2020)	9438	32749	3.4699088789997883
thalassa: edge of the abyss v.1.0.0-012215 [папка игры] (2024)	62126	40471	1.53507449778854
hazel sky (2022)	19145	17762	1.077862853282288
1953: kgb unleashed (фобос 1953) (2010) pc | лицензия	67821	35194	1.927061430925726
call of juarez gunslinger (2013) pc | repack от xatab	93350	62284	1.4987797829298055
crimson snow [portable] pc | лицензия	15207	23578	1.5504701782074044
this is the police v1.1.3.0 [gog] (2016)	13547	17559	1.2961541300656971
timeflow – time and money simulator (early access) pc | лицензия	85001	40801	2.083306781696527
lego star wars iii: the clone wars v.1.0 (16810) [gog] (2011)	25435	12987	1.9584969584969585
orange cast: sci-fi space action game [папка игры] (2021)	27531	18023	1.5275481329412417
mortal shell [gog] (2020)	77153	33225	2.3221369450714824
heroes of might and magic v1.2 (1.1) [gog] (1996)	12523	13329	1.0643615747025472
venetica gold edition v1.0.3 [gog] (2009)	14729	11949	1.2326554523391078
half-life [portable] (1998-2001)	24598	44123	1.7937637206276933
the saboteur (2009) pc | лицензия	86077	45874	1.8763787766490823
black future '88 (2019) pc | лицензия	43266	22361	1.9348866329770582
alien breed: impact [gog] (2010) pc | лицензия	6145	17857	2.905939788445891
gods will fall valiant edition [gog] (2021)	22227	18896	1.1762806943268416
the dark pictures anthology: little hope (2020) pc | лицензия	80187	37030	2.1654604374831217
the crown of wu (2023)	13797	20808	1.5081539465101108
sunblaze v1.1.2.016 [gog] (2021)	11728	17887	1.5251534788540246
hedon bloodrite [gog] (2021) pc | лицензия	33633	21273	1.5810181920744606
age of wonders: planetfall [gog] (2019)	30177	28691	1.0517932452685512
sonority (2022)	6065	19006	3.1337180544105525
kholat  (2015) pc | repack от xatab	37579	46779	1.2448175842890976
lovecraft's untold stories 2 (2022)	20900	18289	1.1427634096998196
simairport [plaza] (2020) pc | лицензия	16802	40010	2.3812641352219974
chronos: before the ashes [gog] (2020) pc | лицензия	44263	36202	1.2226672559527099
tomb raider: anniversary v.1.0 (48900) [gog] (2007)	19203	12987	1.4786324786324787
breathedge v.1.1.0.3 [папка игры] (2021)	44748	26619	1.6810548856080243
dracula origin v1.0 [gog] (2008)	8536	21018	2.462277413308341
synthetik: legion rising v39 [gog] (2018)	10157	24663	2.4281776114994584
azure striker gunvolt 3 (2022) pc | лицензия	11292	17884	1.5837761246900461
skyhill: black mist	20456	44474	2.174129839655847
observer: system redux [gog] (2017-2020) pc | лицензия	70107	37735	1.8578773022393005
below [v 1.0.0.30] (2018) pc | repack от xatab	43245	50461	1.1668632211816394
star wars knights of the old republic	79671	56825	1.4020413550373956
burnhouse lane v.1.4.3 [архив] (2022)	63171	30476	2.0728113925712037
batman arkham city goty [v 1.1] (2012) repack от decepticon	36244	42419	1.1703730272596844
wrc powerslide (2014) pc | repack от xatab	23424	44280	1.8903688524590163
hearts of iron iii v1.4-3 [gog] (2009)	17674	16183	1.0921337205709696
leisure suit larry: reloaded (2013) pc | repack от xatab	25705	41901	1.6300719704337678
lego 2k drive (2023)	10310	26094	2.53094083414161
need for speed: prostreet pc (2007) repack от decepticon	35599	30117	1.1820234419098847
alien breed 3: descent [gog] (2010) pc | лицензия	9957	17857	1.7934116701817817
wwe 2k15 (2015) pc | repack от xatab	75066	42815	1.7532640429755926
tavern manager simulator v.1.0.10_1 [папка игры] (2024)	65525	25857	2.5341300228178056
dead synchronicity: tomorrow comes today [gog] (2015) pc | лицензия	21673	18913	1.1459313699571723
ape out (2019) pc | лицензия	27505	20035	1.3728475168455203
edengate: the edge of life (2022)	16445	16769	1.0197020370933414
code vein v.1.53.61787 [папка игры] (2019)	25003	34570	1.3826340839099307
welcome to paradize (25/03/2024) [архив] (2024)	57968	29840	1.942627345844504
gamedec - digital deluxe edition [gog] (2021)	68673	22549	3.0455009091312255
broken lines v.1.6.1.0 (43525) [gog] (2020) pc | лицензия	38403	34295	1.1197842251057006
lacuna a sci-fi noir adventure save the world edition [gog] (2021)	38931	19024	2.046415054667788
mxgp - the official motocross videogame (2014) pc | repack от xatab	37352	46513	1.2452612979224673
this land is my land (2021) pc | лицензия	89020	35562	2.5032337888757663
death's gambit (2018) pc | лицензия	86327	20380	4.235868498527968
steamworld heist ii v.1.4 [папка игры] (2024)	70392	33031	2.131088977021586
deiland: pocket planet (2018-2021)	7988	29910	3.744366549824737
the lord of the rings: gollum [v 0.2.51064.11315968 + dlc] (2023) repack от decepticon	20362	30622	1.5038797760534328
ratchet & clank: rift apart [v 2.618.0.0] (2023) repack от decepticon	49159	34875	1.4095770609318996
call to arms (2018)	23617	36376	1.5402464326544438
divinity: original sin 2 definitive edition [gog] (2017)	94738	34451	2.749934689849351
gerda: a flame in winter (2022)	11179	17472	1.5629304946775204
postal iii (2011)	9443	48094	5.093084824737901
card shark (2022)	7735	12669	1.637879767291532
the inquisitor (2024/03/14) [папка игры] (2024)	43512	31450	1.383529411764706
prospekt (2016) pc | repack от xatab	44845	42723	1.0496687966669007
lost at sea [gog] (2021)	15428	19024	1.2330827067669172
trackmania sunrise + trackmania sunrise extreme v.1.5.1 [бука] (2005) pc | лицензия	15890	27793	1.7490874764002518
ori and the blind forest: definitive edition (2016) pc | лицензия	88170	31359	2.811633024012245
bioshock infinite (2013) pc | лицензия	43550	30374	1.433792058997827
land of war - the beginning [portable] (2021) pc | лицензия	41998	39089	1.074419913530661
no more heroes (2021)	15579	27299	1.7522947557609603
creaks [build 5311171]	24207	37051	1.5305903251125708
ride 4	37164	47661	1.2824507587988376
need for speed: shift pc (2009) repack от decepticon	14189	27217	1.918176051871168
zombie army: trilogy (2015) pc | repack от xatab	75406	47812	1.577135447168075
batman the enemy within the telltale series+batman shadows mode [gog] (eng/rus/multi8) от r.g. gogfan	26640	26695	1.0020645645645645
elex ii [steam] (2022) | лицензия	28447	33930	1.1927444018701445
ebola 2	65218	44774	1.4566042792692186
greedfall ii: the dying world v.0.1.1 [папка игры] (early access)	61733	21604	2.8574800962784668
call of juarez: bound in blood v.1.1.0.0 (32412) [gog] (2009)	20943	14175	1.4774603174603174
potion craft: alchemist simulator v1.0 [gog] (2022)	15459	34657	2.2418655799210816
supreme commander gold edition v1.1.3280 / 1.5 [gog] (2008)	11337	20740	1.8294081326629619
neighbours back from hell [gog] (2020) pc | лицензия	21754	33984	1.5621954583065183
aquanox deep descent - collector’s edition [gog] (2020) pc | лицензия	95046	49200	1.931829268292683
thief simulator (v1.4) (2018)  repack от xatab	96988	49445	1.961533016482961
returnal (2023)	89831	31954	2.8112599361582276
plague inc: evolved [v 1.19.1.0 + dlc] (2016) repack от decepticon	15202	33926	2.2316800420997236
brigador up-armored deluxe edition [gog] (2017) pc | лицензия	32831	19938	1.646654629350988
dordogne (2023)	7317	14924	2.03963372967063
marvel's guardians of the galaxy - deluxe edition (2021)	80759	38682	2.087766920014477
starcrawlers v1.1.4.1 [gog] (2017)	7815	17959	2.2980166346769035
heroes of might and magic 3 complete [gog | windows] (eng/rus/multi4) от r.g. gogfan	55624	21374	2.6024141480303173
borderlands game of the year enhanced	91315	69880	1.306740125930166
alan wake remastered [папка игры] (2010-2012-2021)	80530	36047	2.23402779704275
saint kotar [папка игры] (2021)	33843	20048	1.6880985634477255
alaskan road truckers (2023)	22395	23861	1.065461040410806
shadows: awakening (1.3.1) (2018) repack от xatab	64676	48436	1.3352878024609793
undertale (2015) pc | лицензия	71246	28492	2.500561561139969
x-com: apocalypse v1.00 [gog] (1997)	6470	9851	1.522565687789799
raji: an ancient epic v. 1.4.0 [gog] (2020)	39666	29726	1.3343874049653501
atelier ryza: ever darkness & the secret hideout	97349	51704	1.882813708803961
sniper elite v2 [v 1.13 + dlcs] (2012) pc | repack от xatab	90183	77563	1.1627064450833515
wildcat gun machine supporter bundle [gog] (2022)	6707	15893	2.369613836290443
daydream: forgotten sorrow (2023)	7255	16964	2.338249483115093
lego star wars: the skywalker saga [v 1.0.0.27327 + dlcs] (2022) pc | repack от decepticon	28583	27496	1.0395330229851614
the casting of frank stone (26/09/2024) [папка игры] (2024)	99641	44354	2.2464941155250937
the valiant (2022)	49856	20362	2.4484824673411256
automobilista 2	35696	38659	1.0830064993276558
tropico 5 [v 1.10 + 14 dlc] (2014) pc | repack от xatab	72355	60330	1.1993204044422343
sherlock holmes the awakened [gog] (2023)	17786	19172	1.0779264590127067
professional farmer: cattle and crops [gog] (2017) pc | лицензия	22494	24746	1.1001155863785899
re-legion (2019) pc | лицензия	71502	26762	2.671773410059039
octopath traveler [cpy] (2019) pc | лицензия	60713	31751	1.9121602469213568
farming simulator 15: gold edition [v 1.4.2 + dlc's] (2014) pc | repack от xatab	71715	48018	1.4935024365862801
neva v.1.01 [папка игры] (2024)	31595	34378	1.0880835575249248
assassin's creed director's cut [gog] (2008)	36369	19518	1.8633569013218567
tank mechanic simulator (2020) pc | лицензия	31270	30093	1.0391120858671452
kong: survivor instinct [папка игры] (2024)	26803	32705	1.2201992314293175
the last oricru (2022)	50822	25418	1.9994492092218112
sekiro. shadows die twice - goty [portable] (2019) pc | лицензия	52441	40976	1.2797979304959
portal stories: mel [portable] (2015) pc | лицензия	7566	28798	3.8062384351044143
battletoads	70109	48018	1.4600566454246324
distraint: deluxe edition (2015) [portable]	22439	25090	1.1181425197201302
the outer worlds: spacer's choice edition (steam) (2019-2023) pc | лицензия	46062	23612	1.9507877350499745
plants vs. zombies [portable] (2009) pc | лицензия	47228	33379	1.4149015848287845
rad (2019) pc | repack от xatab	31727	48037	1.514073186875532
skully	32428	35492	1.094486246453682
ww2 rebuilder (2023)	36390	24746	1.4705406934454053
rocket league (2015) pc | repack от xatab	29984	40452	1.349119530416222
space haven v.0.19.0 build 16 [папка игры] (early access)	23719	36623	1.5440364264935285
chasm: the rift (2022)	25102	24227	1.0361167292689974
arkham horror: mother's embrace v1026 5824 [gog] (2021)	14315	14945	1.0440097799511003
wild west dynasty	43280	18331	2.361027767170367
metal gear solid 2 substance v.1.0cu (45301) [gog] (2003)	32270	18565	1.738217075141395
panzer corps 2	65975	36388	1.8130977245245685
the shore v1.0 [gog] (2021)	11827	18896	1.5977001775598207
warhammer 40 000: dawn of war ii: retribution - complete edition (2011) pc | repack от xatab	95512	56168	1.700470018515881
oxenfree ii: lost signals (2023)	8059	25602	3.17682094552674
dustborn v.1.2 [папка игры] (2024)	85570	32043	2.670474050494648
fatal frame / project zero: maiden of black water (2014-2021) pc | лицензия	26999	34220	1.267454350161117
icewind dale 2 complete v2.1.0.13 [gog] (2002)	28134	22533	1.2485687658101452
fears to fathom - woodbury getaway v.1.3 [папка игры] (2024)	48480	39606	1.224056961066505
amid evil warrior edition (2019) pc | лицензия	66705	20192	3.3035360538827256
for the king (2017) pc | repack от xatab	38455	53236	1.3843713431283318
heavy rain	44262	52847	1.1939587004654104
chef life: a restaurant simulator v.1.4.0.0 [папка игры] (2023)	26544	27975	1.0539104882459314
watch dogs: legion [v 1.5.6] (2020) pc | repack от decepticon	83542	32529	2.5682314242675766
you are empty [1c] (2006) pc | лицензия	48980	46506	1.0531974368898638
soldier of fortune: payback v1.1 [gog] (2007)	16963	11641	1.457177218452023
simcity 4 deluxe edition v.1.1.641 hotfix (25621) [gog] (2003)	33943	20856	1.6274932873034138
mafia: definitive edition (2020) pc | лицензия	27042	40382	1.4933067080837217
paranoid (2023)	12036	17987	1.4944333665669658
one punch man a hero nobody knows	26839	37143	1.3839189239539476
dragon quest® xi s: echoes of an elusive age™ - definitive edition [папка игры] (2020) pc | лицензия	49672	26555	1.8705328563359067
blood and zombies (2022)	25491	23374	1.0905707196029777
daymare: 1998 (2019)  repack от	70901	49519	1.4317938569034108
visage [gog] (2020) pc | лицензия	87995	38249	2.300583021778347
neighbours back from hell v1.2 [gog] (2020)	11050	29552	2.674389140271493
prodeus (2022)	36388	23864	1.5248072410325175
praetorians - hd remaster (2003-2020) pc | лицензия	62835	29612	2.1219438065649063
far cry 2 [gog] (2008) pc | лицензия	98855	44354	2.228773053163187
victory at sea pacific (2018)	32140	20374	1.5775007362324531
monkey island 2 special edition: lechuck’s revenge v2.0.0.10 [gog] (2010)	7369	19061	2.586646763468585
metal: hellsinger (2022)	61415	36354	1.6893601804478187
the hong kong massacre (2019) repack от xatab	66289	55916	1.1855104084698476
afterparty v1.4.26f2 (53350) [gog] (2020)	6019	29861	4.961123110151188
deep rock galactic	30760	50365	1.6373537061118335
peglin v.0.9.59 [gog] (early access)	46591	12353	3.771634420788472
wanted: dead (2023)	31453	27377	1.148884099791796
warhammer 40 000: mechanicus - omnissiah edition [v 1.3.7] (2018) pc | repack от xatab	98588	61448	1.604413487827106
superpower 3 v1.0b [gog] (2022)	13623	21843	1.6033913234970272
pro fishing simulator  (2018)  repack от xatab	37513	47027	1.2536187455015595
mark of the ninja: remastered [gog] (2012-2018) pc | лицензия	43168	33863	1.2747836872102294
transport fever  (build 18381) (rus|eng) repack от xatab	48128	57410	1.192860704787234
tropico 4 complete collection v.1.6.345 (19959) [gog] (2011)	8095	14312	1.7680049413218035
industria (2021)	52488	30236	1.7359439079243286
scrap mechanic (early access) pc | лицензия	91615	37704	2.429848291958413
soldier of fortune platinum edition v1.07f hotfix [gog] (2001)	9916	11641	1.1739612747075434
punk wars v.1.1.0 (52328) [gog] (2021)	24223	26542	1.0957354580357512
смерть шпионам: момент истины (death to spies: moment of truth) (2009) pc | лицензия	56836	44398	1.2801477544033515
night call v.1.0.7 [plaza] (2019) pc | лицензия	39992	23046	1.7353119847261997
operencia: the stolen sun - explorer's edition	49005	45448	1.0782652701989086
injustice 2 - legendary edition [папка игры] (2017)	42105	27072	1.555296985815603
shadowgrounds v.1.05 (22186) [gog] (2005)	15107	26623	1.762295624544913
lumencraft v9027 [gog] (2023)	27389	21229	1.2901691082952564
tchia (2023)	14898	19865	1.3334004564371056
resident evil 4 hd project (2005-2022) pc | лицензия	64802	27679	2.341197297590231
rfactor 2 (2013) pc | лицензия	20130	31930	1.5861897665176354
inked (2018) pc | лицензия	17864	30736	1.7205553067622033
space rangers [+ space rangers: quest] pc (2002) repack от decepticon	16085	30922	1.9224121852657756
five nights at freddy's: security breach (2021) pc | лицензия	46964	48331	1.0291074014138488
the matrix: path of neo v.1.2 [l] (2005) (2019) pc | лицензия	45546	44673	1.0195420052380633
scarf [gog] (2021)	11188	18896	1.6889524490525563
remoteness [portable] (2022) pc | лицензия	17978	30775	1.7118144398709534
lightyear frontier v.0.2.687 [папка игры] (early access)	41090	33185	1.2382100346542113
brothers: a tale of two sons v.gog-2 (6538) [gog] (2013)	15746	17238	1.094754223294805
breathedge	55938	43937	1.273141088376539
game dev studio (2018) pc | лицензия	42489	29117	1.4592506096095064
sherlock holmes chapter one deluxe edition [gog] (2021)	49613	18799	2.6391297409436674
vampire's fall: origins v.1.5.45 [codex] (2019)	85841	36766	2.334793015285862
need for speed: hot pursuit 2 pc (2002) repack от decepticon	19856	31235	1.5730761482675262
zombie night terror v.1.3.13 (2016) pc | лицензия	42396	30410	1.3941466622821441
kao the kangaroo (2022)	17071	15500	1.1013548387096774
souldiers (2022)	19992	16825	1.1882317979197623
myst [gog] (2021)	36651	25018	1.4649852106483332
underworld ascendant (2018) pc | repack от xatab	83444	59161	1.410456212707696
tales of arise [папка игры] (2021)	72038	29489	2.4428770049849096
edge of sanity v.1.1.1 [папка игры] (2024)	25116	36556	1.455486542443064
serious sam 3: bfe (2011) pc | repack от xatab	76382	69518	1.0987370177507985
the forgotten city (2021)	39916	28609	1.3952252787584327
blades of time: limited edition [gog] (2012) pc | лицензия	64763	36182	1.789923166215245
decay: the mare (2015) pc | repack от xatab	40289	31348	1.2852175577389306
freeman: guerrilla warfare (2018) repack от xatab	64978	54715	1.1875719638124829
легенды эйзенвальда / legends of eisenwald [update 10 + 1 dlc] (2015) pc | repack от xatab	59894	36978	1.6197198334144627
the walking dead: destinies v.1.2.0.6 [папка игры] (2023)	28769	26707	1.077208222563373
descenders (2019)  repack от xatab	39026	39555	1.0135550658535335
neon white (2022)	18411	18547	1.0073868882733148
suzerain presidential edition v1.1.8 [gog] (2020)	12243	18185	1.485338560810259
oddworld: soulstorm [portable] (2021)	71788	22796	3.1491489735041234
corsairs legacy - pirate action rpg & sea battles	17446	29583	1.695689556345294
tormentum: dark sorrow [gog] (2015) pc | лицензия	26427	19387	1.3631299324289472
metal gear solid 2: sons of liberty - master collection version v.2.0.0 [папка игры] (2023)	56820	28803	1.972711175919175
the alien cube [папка игры] (2021)	27318	24794	1.1017988222957167
homeworld 3 [v 1.22-cl363716 + dlcs] (2024) repack от decepticon	18283	23484	1.2844719137997047
parkitect v.1.10c [gog] (2018)	72361	25878	2.796236185176598
yakuza 0 v1.015a [gog] (2018)	11590	14887	1.2844693701466783
transport fever 2 [gog] (2019) pc | лицензия	63680	32760	1.9438339438339438
ultimate fishing simulator [v 2.20.9:500+dlc] (2017) pc | repack от xatab	71274	35038	2.034191449283635
south park: stick of truth  (2014) pc | repack от xatab	95630	65874	1.4517108419103135
kingdom of the dead v.1.21 [архив] (2021)	59852	22527	2.656900608159098
dishonored: death of the outsider [gog] (2017) pc | лицензия	34192	43409	1.2695659803462798
scorn (2022)	34218	22717	1.5062728353215653
heaven dust (2020) pc | лицензия	16582	33870	2.0425762875407067
before we leave	81070	34953	2.3194003375962007
planet alpha (2018) pc | лицензия	60174	28868	2.084453373978107
nioh 2 - the complete edition [portable] (2021)	56814	27639	2.0555736459350915
styx: master of shadows v1.02 [gog] (2014)	15943	29516	1.8513454180518096
bastion (2011) pc | лицензия	15652	14937	1.0478677110530896
carmageddon: max damage [update 3 + 1 dlc] (2016) pc | repack от xatab	46889	44089	1.0635079044659665
europa (15/10/2024) [папка игры] (2024)	77859	32482	2.396989101656302
astalon: tears of the earth v1.0.14 (47877) [gog] (2021)	9115	18353	2.0134942402633023
tom clancy's rainbow six v.001.04 (19237) [gog] (1998)	16972	11763	1.442829210235484
panzer corps gold edition v.1.30 (20676) [gog] (2010)	33457	18464	1.8120125649913346
train sim world 2 [portable] (2020) pc | лицензия	49683	41119	1.2082735475084512
wasteland remastered [gog] (2019) pc | лицензия	75196	36182	2.078270963462495
valkyrie elysium [папка игры] (2022)	22239	30106	1.3537479203201583
tetris effect  (2019) repack от xatab	38908	43986	1.1305130050375245
lego marvel super heroes	67024	49211	1.3619719168478592
resident evil 5 gold edition [v 1.2.0 build 11465250] (2015) pc | repack от decepticon	25186	36217	1.4379814182482331
alien: isolation : digital deluxe edition (2014) pc | repack от xatab	97990	67305	1.455909664958027
islets [gog] (2022)	7799	15733	2.0173099115271187
train simulator 2014 (2013) рс | repack от xatab	54144	49574	1.0921854197764957
overpass™ [codex] (2020) pc | лицензия	47238	39646	1.1914947283458608
strange brigade (2018) pc | repack от xatab	66590	59519	1.118802399233858
dirt rally [v 1.23] (2015) pc | repack от xatab	88873	54275	1.6374573929064946
endzone 2 v.0.8.9006.19822 [папка игры] (early access)	88620	33833	2.6193361510950846
king's bounty: crossworlds goty / king's bounty: перекрестки миров v1.3.1 [gog] (2009)	18566	18464	1.0055242634315424
grid 2 (2013) pc | repack от xatab	77691	41637	1.8659125297211614
startup panic v.3.15 (52858) [gog] (2022)	7867	26697	3.39354264649803
farming simulator 15: gold edition [v 1.4.1 + dlc's] (2014) pc | repack от xatab	28761	39453	1.3717534160842808
rad rodgers radical edition v.1.5.2 (27873) [gog] (2018)	10584	19580	1.8499622071050643
drake hollow	23019	34227	1.4869021243320735
in sound mind - deluxe edition [gog] (2021)	35020	20048	1.7468076616121309
undermine (2020) pc | лицензия	50191	28813	1.7419567556311388
resident evil 5 - gold edition (2009) pc | лицензия	33456	43286	1.2938187470109994
survival & horror: hangman's rope	19530	34130	1.747567844342038
ghost of a tale {v 7.91} (seithcg) (rus/eng/multi6) [repack] by xatab	46185	53534	1.1591209267078055
gears of war v.1.0.3340.131 [1с] (2007) pc | лицензия	57328	52602	1.0898444926048438
dragon age: origins - ultimate edition (2009) pc | лицензия	71717	32313	2.2194472812799804
jump king v.g1.06 (44368) [gog] (2019)	9408	19572	2.080357142857143
the ball (2010) pc | лицензия	21963	45309	2.0629695396803713
a quiet place: the road ahead v.1.0.0 build 45412.11492 [папка игры] (2024)	51583	54111	1.0490083942384119
desperados iii	98096	52072	1.8838531264403133
teenage mutant ninja turtles the cowabunga collection (2022)	29620	30625	1.0339297771775826
homeseek (2023)	42290	26287	1.6087800053258265
deus ex goty edition v.1.112fm (revision 1.6.1.0) (45326) [gog] (2000)	31806	21884	1.4533906050082253
marz tactical base defense [v20190502] (2019)  repack от xatab	28324	37742	1.3325095325518994
webbed v.1.04b (51339) [gog] (2021)	11635	18799	1.6157284056725398
deus ex: mankind divided digital deluxe edition	70544	50994	1.3833784366788249
jade empire special edition	50193	47649	1.0533904174274382
company of heroes 3 (2023)	27308	35189	1.288596748205654
60 seconds! reatomized [steam] (2015-2019)	14902	32448	2.177425848879345
the elder scrolls v: skyrim vr	53169	62867	1.1823995185164287
gish (2004) pc | лицензия	18241	28960	1.5876322570034538
scythe digital edition [gog]	35656	22946	1.5539091780702519
atom rpg - dilogy (2020-2021) pc | repack от decepticon	16728	33411	1.997309899569584
night in the woods weird autumn edition [gog] (2017)	16405	23244	1.416885096007315
apsulov. end of gods v.1.1.7 [gog] (2019) pc | лицензия	94419	29843	3.1638575210267064
