Название игры	Истинные значения	Предсказанные значения	Отношение
1953: kgb unleashed (фобос 1953) (2010) pc | лицензия	67821	33515	2.0236013725197672
call of juarez gunslinger (2013) pc | repack от xatab	93350	55613	1.6785643644471617
crimson snow [portable] pc | лицензия	15207	31823	2.0926546984941146
this is the police v1.1.3.0 [gog] (2016)	13547	24252	1.7902118550232524
timeflow – time and money simulator (early access) pc | лицензия	85001	34749	2.446142335031224
lego star wars iii: the clone wars v.1.0 (16810) [gog] (2011)	25435	24786	1.0261841362059227
orange cast: sci-fi space action game [папка игры] (2021)	27531	23940	1.15
mortal shell [gog] (2020)	77153	28177	2.738155232991447
heroes of might and magic v1.2 (1.1) [gog] (1996)	12523	23183	1.8512337299369162
venetica gold edition v1.0.3 [gog] (2009)	14729	24468	1.661212573833933
half-life [portable] (1998-2001)	24598	39464	1.6043580778925115
the saboteur (2009) pc | лицензия	86077	51137	1.6832626082875413
black future '88 (2019) pc | лицензия	43266	24793	1.7450893397329892
gods will fall valiant edition [gog] (2021)	22227	23110	1.0397264588113555
the dark pictures anthology: little hope (2020) pc | лицензия	80187	31518	2.5441652389110985
the crown of wu (2023)	13797	24366	1.766036094803218
sunblaze v1.1.2.016 [gog] (2021)	11728	22649	1.9311903137789905
hedon bloodrite [gog] (2021) pc | лицензия	33633	20527	1.6384761533589907
age of wonders: planetfall [gog] (2019)	30177	27195	1.1096525096525096
kholat  (2015) pc | repack от xatab	37579	55357	1.4730833710316933
lovecraft's untold stories 2 (2022)	20900	24072	1.1517703349282296
simairport [plaza] (2020) pc | лицензия	16802	27989	1.665813593619807
chronos: before the ashes [gog] (2020) pc | лицензия	44263	28929	1.5300563448442739
tomb raider: anniversary v.1.0 (48900) [gog] (2007)	19203	24551	1.2784981513305214
breathedge v.1.1.0.3 [папка игры] (2021)	44748	27074	1.6528034276427568
dracula origin v1.0 [gog] (2008)	8536	22828	2.6743205248359887
synthetik: legion rising v39 [gog] (2018)	10157	24349	2.397262971349808
azure striker gunvolt 3 (2022) pc | лицензия	11292	30278	2.681367339709529
skyhill: black mist	20456	44757	2.187964411419632
observer: system redux [gog] (2017-2020) pc | лицензия	70107	29481	2.3780400936196195
below [v 1.0.0.30] (2018) pc | repack от xatab	43245	46850	1.0833622384090646
star wars knights of the old republic	79671	51891	1.5353529513788517
burnhouse lane v.1.4.3 [архив] (2022)	63171	26770	2.359768397459843
batman arkham city goty [v 1.1] (2012) repack от decepticon	36244	51967	1.433809734024942
wrc powerslide (2014) pc | repack от xatab	23424	43660	1.8639002732240437
hearts of iron iii v1.4-3 [gog] (2009)	17674	21859	1.2367885028855947
leisure suit larry: reloaded (2013) pc | repack от xatab	25705	41979	1.6331063995331647
lego 2k drive (2023)	10310	22300	2.1629485935984483
need for speed: prostreet pc (2007) repack от decepticon	35599	29656	1.2003978958726733
alien breed 3: descent [gog] (2010) pc | лицензия	9957	23586	2.368785778849051
wwe 2k15 (2015) pc | repack от xatab	75066	47337	1.585778566449078
tavern manager simulator v.1.0.10_1 [папка игры] (2024)	65525	34992	1.8725708733424782
dead synchronicity: tomorrow comes today [gog] (2015) pc | лицензия	21673	28105	1.2967747889078578
ape out (2019) pc | лицензия	27505	24817	1.1083128500624573
edengate: the edge of life (2022)	16445	24697	1.5017938583155974
code vein v.1.53.61787 [папка игры] (2019)	25003	31861	1.2742870855497341
welcome to paradize (25/03/2024) [архив] (2024)	57968	34067	1.701588047083688
gamedec - digital deluxe edition [gog] (2021)	68673	24082	2.8516319242587826
broken lines v.1.6.1.0 (43525) [gog] (2020) pc | лицензия	38403	27842	1.3793190144386178
lacuna a sci-fi noir adventure save the world edition [gog] (2021)	38931	24043	1.619223890529468
mxgp - the official motocross videogame (2014) pc | repack от xatab	37352	45243	1.2112604412079675
this land is my land (2021) pc | лицензия	89020	28925	3.0776145203111493
