Название игры	Истинные значения	Предсказанные значения	Отношение
emergency 2017 (2016) pc | repack от xatab	21194	45409	2.142540341606115
terraformers v.1.4.6 [gog] (2023)	54202	21736	2.493651085756349
coffee talk v1.45 [gog] (2020)	9438	22992	2.4361093452002542
thalassa: edge of the abyss v.1.0.0-012215 [папка игры] (2024)	62126	33211	1.870645268134052
hazel sky (2022)	19145	22187	1.158892661269261
1953: kgb unleashed (фобос 1953) (2010) pc | лицензия	67821	32375	2.0948571428571428
call of juarez gunslinger (2013) pc | repack от xatab	93350	55613	1.6785643644471617
crimson snow [portable] pc | лицензия	15207	31344	2.0611560465575063
this is the police v1.1.3.0 [gog] (2016)	13547	22256	1.6428729608031298
timeflow – time and money simulator (early access) pc | лицензия	85001	33233	2.5577287635783708
lego star wars iii: the clone wars v.1.0 (16810) [gog] (2011)	25435	22901	1.1106501899480372
orange cast: sci-fi space action game [папка игры] (2021)	27531	20870	1.3191662673694298
mortal shell [gog] (2020)	77153	26227	2.941739428832882
heroes of might and magic v1.2 (1.1) [gog] (1996)	12523	21576	1.7229098458835743
venetica gold edition v1.0.3 [gog] (2009)	14729	22261	1.5113721230226085
half-life [portable] (1998-2001)	24598	41660	1.6936336287503049
the saboteur (2009) pc | лицензия	86077	51137	1.6832626082875413
black future '88 (2019) pc | лицензия	43266	22778	1.8994643954693124
alien breed: impact [gog] (2010) pc | лицензия	6145	20928	3.405695687550854
gods will fall valiant edition [gog] (2021)	22227	21134	1.051717611431816
the dark pictures anthology: little hope (2020) pc | лицензия	80187	32049	2.5020125432930826
the crown of wu (2023)	13797	21193	1.5360585634558237
sunblaze v1.1.2.016 [gog] (2021)	11728	18715	1.5957537517053206
hedon bloodrite [gog] (2021) pc | лицензия	33633	17147	1.961450982679186
age of wonders: planetfall [gog] (2019)	30177	25254	1.1949394155381325
sonority (2022)	6065	21243	3.502555647155812
kholat  (2015) pc | repack от xatab	37579	55357	1.4730833710316933
lovecraft's untold stories 2 (2022)	20900	21799	1.0430143540669856
simairport [plaza] (2020) pc | лицензия	16802	27989	1.665813593619807
chronos: before the ashes [gog] (2020) pc | лицензия	44263	28321	1.5629038522651035
tomb raider: anniversary v.1.0 (48900) [gog] (2007)	19203	22663	1.1801801801801801
breathedge v.1.1.0.3 [папка игры] (2021)	44748	25792	1.7349565756823822
dracula origin v1.0 [gog] (2008)	8536	21851	2.5598641049671977
synthetik: legion rising v39 [gog] (2018)	10157	22011	2.167076892783302
azure striker gunvolt 3 (2022) pc | лицензия	11292	23609	2.090772228126107
skyhill: black mist	20456	44757	2.187964411419632
observer: system redux [gog] (2017-2020) pc | лицензия	70107	32178	2.1787245944434086
below [v 1.0.0.30] (2018) pc | repack от xatab	43245	46850	1.0833622384090646
star wars knights of the old republic	79671	52077	1.5298692320986231
burnhouse lane v.1.4.3 [архив] (2022)	63171	26770	2.359768397459843
batman arkham city goty [v 1.1] (2012) repack от decepticon	36244	51967	1.433809734024942
wrc powerslide (2014) pc | repack от xatab	23424	43660	1.8639002732240437
hearts of iron iii v1.4-3 [gog] (2009)	17674	19276	1.090641620459432
leisure suit larry: reloaded (2013) pc | repack от xatab	25705	41979	1.6331063995331647
lego 2k drive (2023)	10310	23654	2.2942774005819593
need for speed: prostreet pc (2007) repack от decepticon	35599	29656	1.2003978958726733
alien breed 3: descent [gog] (2010) pc | лицензия	9957	20745	2.0834588731545645
wwe 2k15 (2015) pc | repack от xatab	75066	47337	1.585778566449078
tavern manager simulator v.1.0.10_1 [папка игры] (2024)	65525	36156	1.812285651067596
dead synchronicity: tomorrow comes today [gog] (2015) pc | лицензия	21673	26808	1.2369307433211831
ape out (2019) pc | лицензия	27505	20264	1.3573332017370707
edengate: the edge of life (2022)	16445	21455	1.304651869869261
code vein v.1.53.61787 [папка игры] (2019)	25003	30678	1.2269727632684078
welcome to paradize (25/03/2024) [архив] (2024)	57968	32866	1.7637680277490415
gamedec - digital deluxe edition [gog] (2021)	68673	22369	3.0700075998032994
broken lines v.1.6.1.0 (43525) [gog] (2020) pc | лицензия	38403	26489	1.4497716033070331
lacuna a sci-fi noir adventure save the world edition [gog] (2021)	38931	21546	1.806878306878307
mxgp - the official motocross videogame (2014) pc | repack от xatab	37352	45243	1.2112604412079675
this land is my land (2021) pc | лицензия	89020	28925	3.0776145203111493
death's gambit (2018) pc | лицензия	86327	23720	3.6394182124789207
steamworld heist ii v.1.4 [папка игры] (2024)	70392	33993	2.0707792780866647
deiland: pocket planet (2018-2021)	7988	27946	3.49849774661993
the lord of the rings: gollum [v 0.2.51064.11315968 + dlc] (2023) repack от decepticon	20362	30318	1.4889500049111088
ratchet & clank: rift apart [v 2.618.0.0] (2023) repack от decepticon	49159	38506	1.27665818314029
call to arms (2018)	23617	27859	1.179616378032773
divinity: original sin 2 definitive edition [gog] (2017)	94738	28925	3.2752981849611063
gerda: a flame in winter (2022)	11179	22549	2.017085606941587
postal iii (2011)	9443	37576	3.9792438843587843
card shark (2022)	7735	24427	3.157983193277311
the inquisitor (2024/03/14) [папка игры] (2024)	43512	32684	1.3312935993146493
prospekt (2016) pc | repack от xatab	44845	47478	1.0587133459694504
lost at sea [gog] (2021)	15428	21526	1.3952553798288825
trackmania sunrise + trackmania sunrise extreme v.1.5.1 [бука] (2005) pc | лицензия	15890	27112	1.7062303335431088
ori and the blind forest: definitive edition (2016) pc | лицензия	88170	39423	2.236511680998402
bioshock infinite (2013) pc | лицензия	43550	33267	1.3091051191871825
land of war - the beginning [portable] (2021) pc | лицензия	41998	40468	1.0378076504892755
no more heroes (2021)	15579	25237	1.6199370948071121
creaks [build 5311171]	24207	46297	1.9125459577808073
ride 4	37164	41626	1.1200624260036594
need for speed: shift pc (2009) repack от decepticon	14189	25466	1.7947705969412926
zombie army: trilogy (2015) pc | repack от xatab	75406	45047	1.6739405509800875
batman the enemy within the telltale series+batman shadows mode [gog] (eng/rus/multi8) от r.g. gogfan	26640	29141	1.0938813813813815
elex ii [steam] (2022) | лицензия	28447	28583	1.0047808204731605
ebola 2	65218	45421	1.4358556614781708
greedfall ii: the dying world v.0.1.1 [папка игры] (early access)	61733	28541	2.162958550856662
call of juarez: bound in blood v.1.1.0.0 (32412) [gog] (2009)	20943	22983	1.097407248245237
potion craft: alchemist simulator v1.0 [gog] (2022)	15459	24854	1.6077365935700887
supreme commander gold edition v1.1.3280 / 1.5 [gog] (2008)	11337	23024	2.0308723648231455
neighbours back from hell [gog] (2020) pc | лицензия	21754	28997	1.3329502620207778
aquanox deep descent - collector’s edition [gog] (2020) pc | лицензия	95046	30538	3.1123845700438797
thief simulator (v1.4) (2018)  repack от xatab	96988	53694	1.8063098297761389
returnal (2023)	89831	33932	2.6473830012967112
plague inc: evolved [v 1.19.1.0 + dlc] (2016) repack от decepticon	15202	32753	2.1545191422181293
brigador up-armored deluxe edition [gog] (2017) pc | лицензия	32831	22843	1.4372455456813904
dordogne (2023)	7317	24625	3.3654503211698783
marvel's guardians of the galaxy - deluxe edition (2021)	80759	33094	2.4402912914727746
starcrawlers v1.1.4.1 [gog] (2017)	7815	17469	2.23531669865643
heroes of might and magic 3 complete [gog | windows] (eng/rus/multi4) от r.g. gogfan	55624	31106	1.7882080627531667
borderlands game of the year enhanced	91315	48735	1.8737047296604084
alan wake remastered [папка игры] (2010-2012-2021)	80530	30147	2.67124423657412
saint kotar [папка игры] (2021)	33843	20651	1.638806837441286
alaskan road truckers (2023)	22395	23445	1.0468854655056932
shadows: awakening (1.3.1) (2018) repack от xatab	64676	52228	1.238339587960481
undertale (2015) pc | лицензия	71246	30992	2.2988513164687663
x-com: apocalypse v1.00 [gog] (1997)	6470	20927	3.2344667697063367
