Название игры	Истинные значения	Предсказанные значения	Отношение
1953: kgb unleashed (фобос 1953) (2010) pc | лицензия	67821	35194	1.927061430925726
call of juarez gunslinger (2013) pc | repack от xatab	93350	62284	1.4987797829298055
crimson snow [portable] pc | лицензия	15207	22242	1.4626159005721049
this is the police v1.1.3.0 [gog] (2016)	13547	18817	1.3890160183066362
timeflow – time and money simulator (early access) pc | лицензия	85001	43034	1.9752056513454477
lego star wars iii: the clone wars v.1.0 (16810) [gog] (2011)	25435	14006	1.816007425389119
orange cast: sci-fi space action game [папка игры] (2021)	27531	22359	1.2313162484905407
mortal shell [gog] (2020)	77153	34382	2.243993950322843
heroes of might and magic v1.2 (1.1) [gog] (1996)	12523	15423	1.2315739040166094
venetica gold edition v1.0.3 [gog] (2009)	14729	16635	1.1294045760065177
half-life [portable] (1998-2001)	24598	44123	1.7937637206276933
the saboteur (2009) pc | лицензия	86077	45874	1.8763787766490823
black future '88 (2019) pc | лицензия	43266	24968	1.7328580583146427
gods will fall valiant edition [gog] (2021)	22227	18896	1.1762806943268416
the dark pictures anthology: little hope (2020) pc | лицензия	80187	37030	2.1654604374831217
the crown of wu (2023)	13797	24433	1.7708922229470174
sunblaze v1.1.2.016 [gog] (2021)	11728	22949	1.9567701227830832
hedon bloodrite [gog] (2021) pc | лицензия	33633	24983	1.3462354400992675
age of wonders: planetfall [gog] (2019)	30177	29992	1.0061683115497466
kholat  (2015) pc | repack от xatab	37579	46779	1.2448175842890976
lovecraft's untold stories 2 (2022)	20900	20606	1.0142676890226148
simairport [plaza] (2020) pc | лицензия	16802	40010	2.3812641352219974
chronos: before the ashes [gog] (2020) pc | лицензия	44263	36202	1.2226672559527099
tomb raider: anniversary v.1.0 (48900) [gog] (2007)	19203	14006	1.3710552620305583
breathedge v.1.1.0.3 [папка игры] (2021)	44748	27081	1.652376204719176
dracula origin v1.0 [gog] (2008)	8536	22889	2.6814667291471417
synthetik: legion rising v39 [gog] (2018)	10157	21188	2.0860490302254604
azure striker gunvolt 3 (2022) pc | лицензия	11292	31438	2.784094934466879
skyhill: black mist	20456	44474	2.174129839655847
observer: system redux [gog] (2017-2020) pc | лицензия	70107	34524	2.030674313521029
below [v 1.0.0.30] (2018) pc | repack от xatab	43245	50461	1.1668632211816394
star wars knights of the old republic	79671	56825	1.4020413550373956
burnhouse lane v.1.4.3 [архив] (2022)	63171	30476	2.0728113925712037
batman arkham city goty [v 1.1] (2012) repack от decepticon	36244	42419	1.1703730272596844
wrc powerslide (2014) pc | repack от xatab	23424	44280	1.8903688524590163
hearts of iron iii v1.4-3 [gog] (2009)	17674	16183	1.0921337205709696
leisure suit larry: reloaded (2013) pc | repack от xatab	25705	41901	1.6300719704337678
lego 2k drive (2023)	10310	23434	2.2729388942774005
need for speed: prostreet pc (2007) repack от decepticon	35599	30117	1.1820234419098847
alien breed 3: descent [gog] (2010) pc | лицензия	9957	20312	2.0399718790800443
wwe 2k15 (2015) pc | repack от xatab	75066	42815	1.7532640429755926
tavern manager simulator v.1.0.10_1 [папка игры] (2024)	65525	25857	2.5341300228178056
dead synchronicity: tomorrow comes today [gog] (2015) pc | лицензия	21673	21775	1.0047063166151433
ape out (2019) pc | лицензия	27505	38975	1.4170150881657881
edengate: the edge of life (2022)	16445	17462	1.0618425053207663
code vein v.1.53.61787 [папка игры] (2019)	25003	34570	1.3826340839099307
welcome to paradize (25/03/2024) [архив] (2024)	57968	29840	1.942627345844504
gamedec - digital deluxe edition [gog] (2021)	68673	22549	3.0455009091312255
broken lines v.1.6.1.0 (43525) [gog] (2020) pc | лицензия	38403	37598	1.0214107133358157
lacuna a sci-fi noir adventure save the world edition [gog] (2021)	38931	19024	2.046415054667788
mxgp - the official motocross videogame (2014) pc | repack от xatab	37352	46513	1.2452612979224673
this land is my land (2021) pc | лицензия	89020	32113	2.772086071061564
death's gambit (2018) pc | лицензия	86327	20380	4.235868498527968
steamworld heist ii v.1.4 [папка игры] (2024)	70392	33031	2.131088977021586
the lord of the rings: gollum [v 0.2.51064.11315968 + dlc] (2023) repack от decepticon	20362	28015	1.3758471662901484
ratchet & clank: rift apart [v 2.618.0.0] (2023) repack от decepticon	49159	34875	1.4095770609318996
call to arms (2018)	23617	36376	1.5402464326544438
gerda: a flame in winter (2022)	11179	20371	1.8222560157438052
postal iii (2011)	9443	48094	5.093084824737901
